Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2015-11-08,1788.326416015625,3268.797607421875,12.922252655029297,77.6473617553711,12.923489570617676,77.64836120605469,1.5497437715530396,7.0,0.5,5568,,,,,81786099,3269216,
2015-11-09,1812.50927734375,2686.0498046875,12.922561645507812,77.64806365966797,12.958793640136719,77.71675109863281,8.114923477172852,14.03566837310791,3.5,6417,,,,,74361845,3476306,87129
2015-11-10,1767.1378173828125,2240.945556640625,12.922333717346191,77.64785766601562,12.958922386169434,77.71672058105469,6.9487199783325195,15.628499984741211,0.7071067690849304,5003,,,,,78209689,2913788,
2015-11-11,1936.481201171875,4844.359375,12.921858787536621,77.64813995361328,12.958946228027344,77.71675872802734,9.625,14.75,4.5,12523,,,,,68702889,5752089,
2015-11-12,1714.310791015625,2217.50634765625,12.922526359558105,77.64799499511719,12.941706657409668,77.69390106201172,2.4989728927612305,14.0,0.5,3687,,,,,83569748,2028816,
2015-11-13,1892.86181640625,4269.50390625,12.92255687713623,77.64805603027344,12.958858489990234,77.71672058105469,5.400170803070068,22.0,1.5,7923,,,,,75921131,5021081,
2015-11-14,1827.990478515625,3222.76416015625,12.922464370727539,77.64787292480469,12.96076774597168,77.71659088134766,1.9533535242080688,8.0,0.55901700258255,7432,,,,,75156516,3933936,
2015-11-15,1607.953369140625,108.58882141113281,12.92238712310791,77.64786529541016,12.961284637451172,77.71722412109375,1.0147451162338257,1.8027756214141846,0.55901700258255,1320,,,,,84005180,246407,
2015-11-16,1808.5843505859375,636.8469848632812,12.92240047454834,77.62837219238281,13.042095184326172,77.69976043701172,2.0251569747924805,9.604686737060547,0.5,1550,,,,1650917,75279893,820372,
2015-11-17,1770.447998046875,2314.88671875,12.92187213897705,77.64720916748047,12.958904266357422,77.71669006347656,6.293185710906982,21.0,1.0,5757,,,,,76060244,2586970,168220
2015-11-18,1780.099365234375,2307.540771484375,12.922355651855469,77.64790344238281,12.958940505981445,77.71672058105469,5.086933612823486,12.5,0.5,5439,,,,,77714123,3131340,
2015-11-19,1896.3837890625,3919.535888671875,12.922420501708984,77.64794158935547,12.958914756774902,77.71673583984375,1.9486448764801025,21.0,1.0,7475,,,,,74932675,5080110,
2015-11-20,1900.922607421875,4557.40771484375,12.922418594360352,77.64742279052734,12.958888053894043,77.71683502197266,1.5088452100753784,5.2737555503845215,0.5,8690,,,,,71810930,5015270,61950
2015-11-21,1795.06591796875,3013.15234375,12.922465324401855,77.64786529541016,12.922879219055176,77.64851379394531,1.00873601436615,4.0,0.55901700258255,5866,,,,,73121823,3382164,
2015-11-22,1642.530517578125,746.5509033203125,12.921234130859375,77.64478302001953,12.923222541809082,77.64906311035156,1.8287453651428223,17.799226760864258,0.5,2484,,,,,78065704,825877,
2015-11-23,1774.286865234375,2139.844970703125,12.922189712524414,77.64767456054688,12.958928108215332,77.71671295166016,5.3764777183532715,24.0,0.5,5072,,,,,76742509,3033935,
2015-11-24,1936.0701904296875,4683.26611328125,12.922469139099121,77.64775848388672,12.958940505981445,77.71676635742188,3.242142915725708,17.0,0.5,8655,,,,,71892244,5744856,
2015-11-25,1828.4527587890625,2894.718505859375,12.922348976135254,77.64806365966797,12.958799362182617,77.71668243408203,5.324764251708984,14.0,0.55901700258255,5815,,,,,73514627,3941679,
2015-11-26,1808.1590576171875,2493.599365234375,12.922374725341797,77.6476821899414,12.958942413330078,77.7168197631836,3.0,3.0,3.0,6788,,,,,71450828,3601586,
2015-11-27,1970.068603515625,6199.28955078125,12.922534942626953,77.64796447753906,12.965779304504395,77.71673583984375,1.51722252368927,2.0,0.55901700258255,10149,,,,,71133069,6314975,
2015-11-28,1762.181640625,2543.51220703125,12.922440528869629,77.64799499511719,12.992198944091797,77.72103118896484,1.7825194597244263,6.51920223236084,0.7071067690849304,4694,,,,,76970186,2831065,
2015-11-29,1933.024658203125,5114.8076171875,12.922260284423828,77.64781951904297,12.956385612487793,77.71755981445312,2.6199147701263428,28.0,0.5,10406,,,,,72823453,5694162,
2015-11-30,1881.5040283203125,4081.88134765625,12.950952529907227,77.71493530273438,12.958192825317383,77.71717834472656,0.7815858125686646,2.657536506652832,0.5,7550,,,,,80968482,4830746,
2015-12-01,1923.2132568359375,4953.541015625,12.951154708862305,77.71543884277344,12.958871841430664,77.71680450439453,1.5054415464401245,2.5,0.5,8994,,,,,79499765,5529737,
2015-12-02,1849.58154296875,3577.956298828125,12.950285911560059,77.71533203125,12.958867073059082,77.71746063232422,1.6036242246627808,12.0,0.5,6551,,,,,81651625,4295773,
2015-12-03,1846.26806640625,3302.3935546875,12.951212882995605,77.7145767211914,12.958924293518066,77.71681213378906,4.2925028800964355,8.0,0.5,7329,,,,,80435633,4240240,
2015-12-04,1854.283935546875,3042.0869140625,12.742796897888184,77.48006439208984,12.9589262008667,77.716552734375,4.660477161407471,15.0,0.5,9890,,,,,56177108,4374573,
2015-12-05,1765.7421875,2236.616455078125,12.951151847839355,77.61477661132812,12.968781471252441,77.71590423583984,1.1756491661071777,2.3048861026763916,0.5,5924,,,,,73700909,2890735,
2015-12-06,1713.8427734375,1916.7088623046875,12.950674057006836,77.7154769897461,12.951815605163574,77.71742248535156,1.5255656242370605,5.0,0.5,3385,,,,,84302952,2020973,
2015-12-07,1955.1617431640625,4872.3828125,12.951361656188965,77.71537017822266,12.958905220031738,77.71682739257812,0.5216097235679626,0.7071067690849304,0.5,9690,,,,,79285589,6064864,
2015-12-08,1816.544677734375,3358.00634765625,12.951499938964844,77.71527862548828,12.958803176879883,77.71680450439453,4.240495204925537,7.632168769836426,0.55901700258255,6468,,,,,81853538,3742117,
2015-12-09,1877.734375,3759.9482421875,12.94948673248291,77.71319580078125,12.958940505981445,77.7167739868164,2.585700035095215,23.0,0.5,6885,,,,,78037444,4767577,
2015-12-10,1820.739501953125,2976.111328125,12.951175689697266,77.71536254882812,12.958944320678711,77.7168197631836,0.9963979721069336,1.346291184425354,0.5,5933,,,,,82303655,3812419,
2015-12-11,2202.70068359375,3989.3203125,12.927641868591309,77.68378448486328,12.958943367004395,77.71665954589844,7.4669189453125,25.5,0.5,7400,,,,3307064,72594087,4628045,
2015-12-12,1880.51611328125,4062.61181640625,12.95118236541748,77.71531677246094,12.954954147338867,77.71595764160156,2.2406115531921387,8.003905296325684,0.5,7214,,,,,79748761,4814192,
2015-12-13,1924.2147216796875,3746.617431640625,12.951465606689453,77.11095428466797,13.65817928314209,77.71568298339844,8.083772659301758,26.76868438720703,0.5,10536,,,,,54784829,5546524,
2015-12-14,1804.05517578125,3317.2314453125,12.951131820678711,77.71512603759766,12.9588041305542,77.71759033203125,6.48766565322876,13.0,2.75,6191,,,,,82067480,3532809,
2015-12-15,1908.58056640625,4416.1259765625,12.950400352478027,77.71513366699219,12.958715438842773,77.71685028076172,,,,8848,,,,,80021232,5284517,
2015-12-16,1832.32763671875,3426.466796875,12.951205253601074,77.71509552001953,12.958940505981445,77.71672058105469,4.149525165557861,25.0,0.9013878107070923,6767,,,,,81573296,4006620,
